date,cci,indicator,trend_score,year,month,quarter,year_month,economic_period
,98.77732,Lipstickindex,-0.0365936643559964,,,,NaT,Unknown
,98.77785,Lipstickindex,-0.0812789746079874,,,,NaT,Unknown
,98.82154,Lipstickindex,-0.0366067824635986,,,,NaT,Unknown
,98.88181,Lipstickindex,-0.0217148202957164,,,,NaT,Unknown
,98.89039,Lipstickindex,0.0676426821006635,,,,NaT,Unknown
,98.8409,Lipstickindex,0.0378849947830236,,,,NaT,Unknown
,98.90736,Lipstickindex,0.0080785277883924,,,,NaT,Unknown
,99.02441,Lipstickindex,0.0229704899562746,,,,NaT,Unknown
,99.13401,Lipstickindex,-0.0068265524870919,,,,NaT,Unknown
,99.24032,Lipstickindex,-0.0514856265238785,,,,NaT,Unknown
,99.38569,Lipstickindex,-0.0365936643559964,,,,NaT,Unknown
,99.51501,Lipstickindex,-0.0812789746079874,,,,NaT,Unknown
,99.6199,Lipstickindex,-0.0366199005712008,,,,NaT,Unknown
,99.63353,Lipstickindex,-0.0217279384033186,,,,NaT,Unknown
,99.58079,Lipstickindex,-0.0515249816496052,,,,NaT,Unknown
,99.50854,Lipstickindex,-0.0515118627390829,,,,NaT,Unknown
,99.53588,Lipstickindex,0.052737601825179,,,,NaT,Unknown
,99.62159,Lipstickindex,0.1421213412396836,,,,NaT,Unknown
,99.67623,Lipstickindex,0.0527507199327812,,,,NaT,Unknown
,99.72331,Lipstickindex,0.0676295639930612,,,,NaT,Unknown
,99.81053,Lipstickindex,0.0080916466989147,,,,NaT,Unknown
,99.91844,Lipstickindex,0.0229573718486724,,,,NaT,Unknown
,99.9707,Lipstickindex,-0.0068134343794897,,,,NaT,Unknown
,99.98325,Lipstickindex,-0.0217148202957164,,,,NaT,Unknown
,99.96016,Lipstickindex,0.0676426821006635,,,,NaT,Unknown
,99.94144,Lipstickindex,0.0080654096807902,,,,NaT,Unknown
,99.95289,Lipstickindex,-0.0217279384033186,,,,NaT,Unknown
,100.0072,Lipstickindex,0.008052291573188,,,,NaT,Unknown
,100.1152,Lipstickindex,0.1867672963659479,,,,NaT,Unknown
,100.3015,Lipstickindex,0.320810109817239,,,,NaT,Unknown
,100.5061,Lipstickindex,0.1569870663894412,,,,NaT,Unknown
,100.6415,Lipstickindex,0.156973948281839,,,,NaT,Unknown
,100.7004,Lipstickindex,0.2016592585338301,,,,NaT,Unknown
,100.6971,Lipstickindex,0.0825178318016857,,,,NaT,Unknown
,100.6304,Lipstickindex,0.1271900239460746,,,,NaT,Unknown
